Vibes,Tagline,Tags
Beachy Bohemian ,Hear the surf,"Ocean, Summer, Beach, Boho, Texture, Bohemian"
Minimalist,"Cool, calm, collected","Minimalism, Simple, Monochrome, Geometry, Mid-century, Abstract"
Victorian Chic,Uptown drama,"Vintage, Portrait, Victorian"
Cozy Cottage,Down a country lane,"Landscape, Flowers, Sunset"
Downtown Pop,Kaboom!,Pop-art
Witchy Coven,On a rising moon,"Ink-pen, Tarot, Star, Magic, Fantasy, Clouds, Galaxy"
On Safari,In the jungle,"Plants, Botanical, Animal, Jungle, Wildlife, Flora"
Movie madness,For the culture vultures,"Comics, gaming, movies-tv"
Street art,Urban rebellion,"street, street-art"
